Time,Demand,Temperature,Date,Holiday
2012-01-02T04:30:00Z,7055.279186,38.75,2012-01-02,True
2012-01-02T05:00:00Z,7146.87121,39.2,2012-01-02,True
2012-01-02T05:30:00Z,7261.476696,39.4,2012-01-02,True
2012-01-02T06:00:00Z,7300.065136,39.6,2012-01-02,True
2012-01-02T06:30:00Z,7345.24889,39.45,2012-01-02,True
2012-01-02T07:00:00Z,7276.420116,39.3,2012-01-02,True
2012-01-02T07:30:00Z,7193.165394,38.85,2012-01-02,True
2012-01-02T08:00:00Z,7049.715348,38.4,2012-01-02,True
2012-01-03T01:30:00Z,7000.039926,26.8,2012-01-03,False
2012-01-03T02:00:00Z,7057.821348,26.8,2012-01-03,False
2012-01-03T02:30:00Z,7065.063654,28.2,2012-01-03,False
2012-01-03T03:00:00Z,7052.804398,29.6,2012-01-03,False
2012-01-03T03:30:00Z,7065.234214,28.05,2012-01-03,False
2012-01-03T04:00:00Z,7024.425002,26.5,2012-01-03,False
2012-01-17T01:00:00Z,7071.619528,30.2,2012-01-17,False
2012-01-17T01:30:00Z,7187.141842,30.9,2012-01-17,False
2012-01-17T02:00:00Z,7336.167518,31.6,2012-01-17,False
2012-01-17T02:30:00Z,7474.540922,32.05,2012-01-17,False
2012-01-17T03:00:00Z,7587.458266,32.5,2012-01-17,False
2012-01-17T03:30:00Z,7684.066238,32.5,2012-01-17,False
2012-01-17T04:00:00Z,7767.20506,32.5,2012-01-17,False
2012-01-17T04:30:00Z,7835.793588,32.65,2012-01-17,False
2012-01-17T05:00:00Z,7887.91186,32.8,2012-01-17,False
2012-01-17T05:30:00Z,7921.306728,33.4,2012-01-17,False
2012-01-17T06:00:00Z,7926.233764,34.0,2012-01-17,False
2012-01-17T06:30:00Z,7806.482962,33.75,2012-01-17,False
2012-01-17T07:00:00Z,7593.07064,33.5,2012-01-17,False
2012-01-17T07:30:00Z,7430.294294,33.1,2012-01-17,False
2012-01-17T08:00:00Z,7183.617422,32.7,2012-01-17,False
2012-01-23T02:30:00Z,7055.112322,30.95,2012-01-23,False
2012-01-23T03:00:00Z,7174.83126,31.9,2012-01-23,False
2012-01-23T03:30:00Z,7289.658012,31.8,2012-01-23,False
2012-01-23T04:00:00Z,7400.472584,31.7,2012-01-23,False
2012-01-23T04:30:00Z,7477.762072,32.1,2012-01-23,False
2012-01-23T05:00:00Z,7569.996998,32.5,2012-01-23,False
2012-01-23T05:30:00Z,7648.548834,32.55,2012-01-23,False
2012-01-23T06:00:00Z,7638.44133,32.6,2012-01-23,False
2012-01-23T06:30:00Z,7560.655442,32.3,2012-01-23,False
2012-01-23T07:00:00Z,7365.158356,32.0,2012-01-23,False
2012-01-23T07:30:00Z,7223.090926,31.35,2012-01-23,False
2012-01-23T08:00:00Z,7009.31188,30.7,2012-01-23,False
2012-01-24T01:00:00Z,7018.541606,30.6,2012-01-24,False
2012-01-24T01:30:00Z,7168.407494,31.4,2012-01-24,False
2012-01-24T02:00:00Z,7332.023382,32.2,2012-01-24,False
2012-01-24T02:30:00Z,7511.556676,33.3,2012-01-24,False
2012-01-24T03:00:00Z,7639.647978,34.4,2012-01-24,False
2012-01-24T03:30:00Z,7728.591862,34.25,2012-01-24,False
2012-01-24T04:00:00Z,7804.15557,34.1,2012-01-24,False
2012-01-24T04:30:00Z,7899.73555,33.85,2012-01-24,False
2012-01-24T05:00:00Z,7980.640786,33.6,2012-01-24,False
2012-01-24T05:30:00Z,8071.631242,33.6,2012-01-24,False
2012-01-24T06:00:00Z,8059.685582,33.6,2012-01-24,False
2012-01-24T06:30:00Z,7966.170468,32.95,2012-01-24,False
2012-01-24T07:00:00Z,7718.665108,32.3,2012-01-24,False
2012-01-24T07:30:00Z,7508.42854,31.75,2012-01-24,False
2012-01-24T08:00:00Z,7218.29691,31.2,2012-01-24,False
2012-01-30T01:30:00Z,7089.624924,29.6,2012-01-30,False
2012-01-30T02:00:00Z,7172.050018,30.1,2012-01-30,False
2012-01-30T02:30:00Z,7205.591214,30.95,2012-01-30,False
2012-01-30T03:00:00Z,7285.254506,31.8,2012-01-30,False
2012-01-30T03:30:00Z,7266.716666,30.4,2012-01-30,False
2012-01-30T04:00:00Z,7187.170202,29.0,2012-01-30,False
2012-01-30T04:30:00Z,7097.4513,29.55,2012-01-30,False
2012-01-30T05:00:00Z,7051.827364,30.1,2012-01-30,False
2012-01-30T05:30:00Z,7025.13858,29.85,2012-01-30,False
2012-02-15T03:00:00Z,7024.389148,32.0,2012-02-15,False
2012-02-15T03:30:00Z,7127.12619,32.55,2012-02-15,False
2012-02-15T04:00:00Z,7193.372034,33.1,2012-02-15,False
2012-02-15T04:30:00Z,7278.54867,33.1,2012-02-15,False
2012-02-15T05:00:00Z,7400.177822,33.1,2012-02-15,False
2012-02-15T05:30:00Z,7437.564456,33.05,2012-02-15,False
2012-02-15T06:00:00Z,7371.933614,33.0,2012-02-15,False
2012-02-15T06:30:00Z,7259.403414,32.85,2012-02-15,False
2012-02-15T07:00:00Z,7025.66444,32.7,2012-02-15,False
2012-02-24T03:30:00Z,7069.534016,34.85,2012-02-24,False
2012-02-24T04:00:00Z,7164.390422,35.4,2012-02-24,False
2012-02-24T04:30:00Z,7318.99051,35.55,2012-02-24,False
2012-02-24T05:00:00Z,7507.46847,35.7,2012-02-24,False
2012-02-24T05:30:00Z,7636.218572,35.0,2012-02-24,False
2012-02-24T06:00:00Z,7660.009432,34.3,2012-02-24,False
2012-02-24T06:30:00Z,7647.905962,34.15,2012-02-24,False
2012-02-24T07:00:00Z,7477.956304,34.0,2012-02-24,False
2012-02-24T07:30:00Z,7331.046354,33.35,2012-02-24,False
2012-02-24T08:00:00Z,7082.531738,32.7,2012-02-24,False
2012-02-25T04:00:00Z,7026.918946,35.6,2012-02-25,False
2012-02-25T04:30:00Z,7155.180366,35.95,2012-02-25,False
2012-02-25T05:00:00Z,7274.530522,36.3,2012-02-25,False
2012-02-25T05:30:00Z,7385.62469,36.2,2012-02-25,False
2012-02-25T06:00:00Z,7384.85405,36.1,2012-02-25,False
2012-02-25T06:30:00Z,7399.551932,36.1,2012-02-25,False
2012-02-25T07:00:00Z,7321.965696,36.1,2012-02-25,False
2012-02-25T07:30:00Z,7218.912026,35.7,2012-02-25,False
2012-02-25T08:00:00Z,7043.871002,35.3,2012-02-25,False
2012-02-26T06:00:00Z,7013.348516,32.8,2012-02-26,False
2012-02-26T06:30:00Z,7057.280926,32.3,2012-02-26,False
2012-11-29T00:30:00Z,7030.10556,34.1,2012-11-29,False
2012-11-29T01:00:00Z,7221.66033,33.6,2012-11-29,False
2012-11-29T01:30:00Z,7377.277508,35.0,2012-11-29,False
2012-11-29T02:00:00Z,7537.211098,36.0,2012-11-29,False
2012-11-29T02:30:00Z,7693.51827,36.7,2012-11-29,False
2012-11-29T03:00:00Z,7835.689324,37.1,2012-11-29,False
2012-11-29T03:30:00Z,7965.159306,37.4,2012-11-29,False
2012-11-29T04:00:00Z,8058.843654,38.5,2012-11-29,False
2012-11-29T04:30:00Z,8186.791236,38.7,2012-11-29,False
2012-11-29T05:00:00Z,8355.02353,38.5,2012-11-29,False
2012-11-29T05:30:00Z,8440.687706,38.2,2012-11-29,False
2012-11-29T06:00:00Z,8443.314312,38.7,2012-11-29,False
2012-11-29T06:30:00Z,8404.172796,38.7,2012-11-29,False
2012-11-29T07:00:00Z,8224.652318,39.2,2012-11-29,False
2012-11-29T07:30:00Z,8035.329498,38.7,2012-11-29,False
2012-11-29T08:00:00Z,7649.936036,37.7,2012-11-29,False
2012-11-29T08:30:00Z,7387.423038,29.7,2012-11-29,False
2012-11-29T09:00:00Z,7165.209952,30.2,2012-11-29,False
2012-11-29T09:30:00Z,7098.09331,29.6,2012-11-29,False
2012-12-12T05:00:00Z,7094.851026,32.9,2012-12-12,False
2012-12-12T05:30:00Z,7192.253158,33.5,2012-12-12,False
2012-12-12T06:00:00Z,7207.18721,33.2,2012-12-12,False
2012-12-12T06:30:00Z,7104.103536,33.9,2012-12-12,False
2012-12-12T07:00:00Z,7009.699352,33.9,2012-12-12,False
2012-12-13T00:30:00Z,7093.69313,31.9,2012-12-13,False
2012-12-13T01:00:00Z,7201.934276,33.1,2012-12-13,False
2012-12-13T01:30:00Z,7337.503394,33.3,2012-12-13,False
2012-12-13T02:00:00Z,7487.641258,34.3,2012-12-13,False
2012-12-13T02:30:00Z,7638.661236,34.2,2012-12-13,False
2012-12-13T03:00:00Z,7727.531904,34.6,2012-12-13,False
2012-12-13T03:30:00Z,7750.408382,34.5,2012-12-13,False
2012-12-13T04:00:00Z,7703.940762,34.4,2012-12-13,False
2012-12-13T04:30:00Z,7643.409458,34.8,2012-12-13,False
2012-12-13T05:00:00Z,7144.056172,27.6,2012-12-13,False
2013-01-03T06:00:00Z,7012.438618,35.7,2013-01-03,False
2013-01-03T06:30:00Z,7052.743048,35.2,2013-01-03,False
2013-01-03T07:00:00Z,7017.914426,36.3,2013-01-03,False
2013-01-04T00:30:00Z,7010.3013,35.4,2013-01-04,False
2013-01-04T01:00:00Z,7197.154068,36.2,2013-01-04,False
2013-01-04T01:30:00Z,7387.755968,36.6,2013-01-04,False
2013-01-04T02:00:00Z,7517.84595,37.0,2013-01-04,False
2013-01-04T02:30:00Z,7634.956442,37.5,2013-01-04,False
2013-01-04T03:00:00Z,7789.696752,38.2,2013-01-04,False
2013-01-04T03:30:00Z,7920.350818,38.8,2013-01-04,False
2013-01-04T04:00:00Z,8050.439722,39.6,2013-01-04,False
2013-01-04T04:30:00Z,8112.173426,40.0,2013-01-04,False
2013-01-04T05:00:00Z,8167.436386,39.7,2013-01-04,False
2013-01-04T05:30:00Z,8299.684662,39.9,2013-01-04,False
2013-01-04T06:00:00Z,8311.875704,40.1,2013-01-04,False
2013-01-04T06:30:00Z,8300.277908,40.4,2013-01-04,False
2013-01-04T07:00:00Z,8159.56007,40.3,2013-01-04,False
2013-01-04T07:30:00Z,7991.094516,40.6,2013-01-04,False
2013-01-04T08:00:00Z,7876.237792,40.3,2013-01-04,False
2013-01-04T08:30:00Z,7760.718516,39.7,2013-01-04,False
2013-01-04T09:00:00Z,7528.983634,39.2,2013-01-04,False
2013-01-04T09:30:00Z,7352.427132,38.6,2013-01-04,False
2013-01-04T10:00:00Z,7197.348354,37.7,2013-01-04,False
